Gene	A549	AG04450	BJ	CD14	GM12878	H1	HeLa	HepG2	HMEC	HSMM	HUVEC	IMR90	K562	MCF7	NHEK	NHLF	SKNSH	SKNSHRA
NM_000014	0.015	0.116	66.322	0.08	0.017	0.104	0.77	1987.425	2	2.522	3.861	1.411	0.008	0.034	0.039	26.315	0.005	0.062
NM_000015	0.004	0.003	0	0.007	0	0.193	0	0.006	0.006	0.104	0.021	0.028	0	0.009	0.021	0.011	0.032	0.019
NM_000016	7.499	10.713	NA	NA	71.096	NA	NA	NA	NA	NA	NA	5.92	34.778	NA	NA	NA	NA	9.845
NM_000017	2.916	1.608	3.331	3.648	1.001	3.327	2.562	8.304	0.677	2.342	4.821	2.54	6.164	0.923	0.888	1.961	2.574	3.36
NM_000018	NA	NA	NA	143.595	NA	NA	NA	NA	NA	NA	NA	131.352	NA	NA	NA	NA	NA	NA
NM_000019	23.333	28.863	20.406	3.613	34.768	7.852	51.259	26.952	18.654	12.575	8.631	21.698	54.122	11.575	26.767	42.62	29.937	21.899
NM_000020	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA
NM_000022	16.834	4.85	8.28	6.974	32.565	14.181	10.953	4.847	11.202	11.032	12.908	5.2	10.885	1.72	8.478	1.746	13.284	8.799
NM_000023	NA	NA	NA	0.24	0.048	0.056	0.01	NA	NA	41.613	NA	NA	NA	NA	NA	0.535	NA	NA
NM_000024	0.107	0.44	0.455	8.752	0.034	0.653	0.403	0.008	9.075	3.884	0.857	1.402	0.145	0.043	29.606	2.551	1.034	0.112
NM_000025	0.004	0	0.003	0.01	0	0.049	0	0	0.003	0.002	0.008	0.002	0	0.009	0	0	0	0.006
NM_000026	42.565	NA	NA	NA	37.459	NA	45.228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NM_000027	NA	14.041	24.937	NA	6.024	NA	4.509	4.792	NA	NA	NA	NA	1.995	NA	NA	NA	9.844	NA
NM_000029	0.119	2.167	0.821	0.02	0	0.082	0.102	801.567	0	1.19	0.002	0.155	0	0.003	0	0.156	0.186	3.206
NM_000030	0.003	0	0	0	0	0.014	0	36.451	0	0.127	0	0	0	0.005	0	0	0	0
NM_000031	3.176	4.27	3.444	6.436	2.031	2.143	4.037	9.05	2.585	4.91	3.885	7.075	1.73	7.501	3.311	6.512	5.129	4.503
NM_000032	NA	NA	0.002	0.053	0.087	NA	NA	0.035	NA	NA	NA	NA	NA	NA	NA	0.002	NA	NA
NM_000033	0.486	1.658	1.839	10.075	0.145	1.01	1.419	4.502	0.828	6.011	5.12	3.811	0.462	0.641	0.263	2.271	3.911	4.78
NM_000035	0.025	0.021	0.015	0.029	0.066	0.002	0.006	0.351	0.005	0.023	0.014	0.027	0.009	0.011	0.006	0.009	0.003	0.07
