Gene	A549	AG04450	BJ	CD14	GM12878	H1	HeLa	HepG2	HMEC	HSMM	HUVEC	IMR90	K562	MCF7	NHEK	NHLF	SKNSH	SKNSHRA
NM_000014	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0
NM_000015	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
NM_000016	0	0	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1
NM_000017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000018	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
NM_000019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000020	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA
NM_000022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000023	NA	NA	NA	1	0	1	0	NA	NA	1	NA	NA	NA	NA	NA	0	NA	NA
NM_000024	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000025	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1
NM_000026	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NM_000027	NA	1	1	NA	1	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA
NM_000029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000030	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000032	NA	NA	0	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
NM_000033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000035	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0
NM_000038	1	1	1	NA	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1
NM_000039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_000040	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	1
NM_000041	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1
NM_000042	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0
NM_000044	NA	NA	NA	1	NA	NA	1	0	1	NA	NA	NA	0	NA	NA	NA	1	0
NM_000045	0	NA	0	NA	NA	1	0	1	0	0	0	0	NA	NA	0	0	NA	1
NM_000046	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	1	1	1	1
NM_000047	1	1	1	NA	0	1	NA	1	NA	1	1	1	1	NA	0	1	0	0
NM_000048	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
NM_000049	NA	1	1	NA	NA	NA	NA	1	1	1	NA	NA	0	1	NA	0	0	NA
NM_000051	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
NM_000052	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1
